time_ms,T1_C,T2_C,T3_C,T4_C,T5_C,T6_C

0,23.31,-53.99,-53.09,-55.94,-49.95,-52.25
1071,23.31,-53.09,-53.99,-53.99,-47.93,-50.68
2143,23.31,-53.99,-53.09,-52.25,-49.95,-51.44
3214,23.28,-53.09,-53.99,-55.94,-49.95,-50.68
4286,23.18,-53.09,-53.09,-53.09,-49.25,-51.44
5358,23.24,-53.99,-53.09,-53.99,-49.25,-51.44
6429,23.18,-53.99,-52.25,-54.93,-49.25,-53.09
7501,23.18,-54.93,-53.09,-52.25,-47.93,-52.25
8572,23.28,-53.99,-51.44,-51.44,-49.25,-52.25
9645,23.28,-53.99,-53.09,-53.99,-49.95,-52.25
10716,23.21,-50.68,-51.44,-52.25,-49.25,-51.44
11788,23.24,-51.44,-53.09,-53.99,-48.58,-51.44
12860,23.24,-52.25,-52.25,-53.99,-48.58,-52.25
13931,23.21,-53.09,-52.25,-53.09,-49.25,-52.25
15003,23.34,-54.93,-53.09,-53.99,-48.58,-50.68
16074,23.50,-53.09,-53.99,-52.25,-50.68,-51.44
17146,24.39,-53.99,-53.09,-51.44,-49.25,-51.44
18219,25.21,-53.99,-53.09,-53.09,-49.95,-51.44
19290,25.89,-54.93,-52.25,-53.09,-51.44,-51.44
20362,26.22,-51.44,-51.44,-53.99,-49.95,-52.25
21433,26.51,-50.68,-51.44,-52.25,-50.68,-51.44
22505,26.80,-50.68,-51.44,-53.09,-49.95,-50.68
23577,27.03,-49.95,-53.99,-53.99,-49.25,-51.44
24648,27.23,-52.25,-53.09,-53.99,-49.25,-51.44
25720,27.31,-51.44,-53.09,-54.93,-49.25,-51.44
26791,27.37,-51.44,-53.99,-53.09,-51.44,-52.25
27864,27.42,-51.44,-53.09,-53.09,-50.68,-51.44
28936,27.62,-51.44,-52.25,-53.09,-49.95,-51.44
30007,27.62,-50.68,-53.09,-52.25,-49.25,-53.09
31079,27.62,-48.58,-53.09,-52.25,-50.68,-52.25
32150,27.34,-47.93,-51.44,-52.25,-50.68,-50.68
33222,27.17,-47.93,-53.99,-53.99,-50.68,-49.95
34293,26.97,-47.93,-52.25,-53.09,-49.95,-50.68
35365,26.77,-45.03,-53.09,-54.93,-50.68,-50.68
36438,26.56,-44.51,-52.25,-52.25,-50.68,-50.68
37509,26.33,-43.50,-53.09,-53.99,-51.44,-51.44
38581,26.10,-44.51,-53.99,-52.25,-49.95,-52.25
39652,25.89,-46.13,-53.09,-51.44,-50.68,-50.68
40724,25.60,-46.71,-52.25,-53.99,-51.44,-50.68
41796,25.51,-47.31,-53.09,-51.44,-49.95,-51.44
42867,25.33,-47.93,-51.44,-51.44,-50.68,-51.44
43939,25.09,-47.93,-53.09,-54.93,-49.25,-50.68
45010,25.00,-47.93,-53.99,-54.93,-50.68,-51.44
46083,24.88,-48.58,-51.44,-53.09,-49.95,-52.25
47154,24.64,-47.31,-53.99,-51.44,-49.95,-49.95
48226,24.64,-49.25,-53.99,-53.09,-49.95,-51.44
49298,24.52,-48.58,-53.99,-52.25,-49.25,-50.68
50369,24.42,-47.93,-55.94,-53.09,-50.68,-51.44
51441,24.33,-47.93,-53.99,-53.99,-49.25,-51.44
52512,24.27,-46.71,-52.25,-53.99,-50.68,-51.44
53584,24.15,-48.58,-52.25,-54.93,-49.95,-52.25
54657,24.12,-47.93,-53.09,-52.25,-49.95,-50.68
55728,24.06,-48.58,-51.44,-53.99,-49.95,-51.44
56800,24.02,-48.58,-54.93,-52.25,-50.68,-52.25
57871,23.87,-49.95,-53.09,-52.25,-49.25,-51.44
