time_ms,T1_C,T2_C,T3_C,T4_C,T5_C,T6_C
125384,76.90,68.15,68.15,68.13,67.98,68.06
126456,76.92,68.06,68.07,68.01,68.03,68.06
127527,76.89,68.18,68.04,67.97,68.09,68.09
128600,76.83,68.24,68.15,68.13,68.12,68.03
129671,76.87,68.21,67.93,68.18,68.06,68.04
130743,76.84,68.13,68.07,68.17,68.10,68.13
131815,76.87,68.20,68.03,68.07,68.09,68.13
132886,76.83,68.15,67.98,68.18,68.03,68.12
133958,76.86,68.26,68.17,68.09,67.98,68.09
135029,76.80,68.15,68.13,68.09,68.04,68.20
136101,76.80,68.20,68.04,68.01,68.09,68.10
137172,76.87,68.23,68.04,68.20,68.09,68.15
138245,76.83,68.15,68.12,68.01,68.07,68.12
139317,76.89,68.13,68.04,68.06,68.13,68.10
140388,76.87,68.20,67.95,68.24,68.13,68.06
141460,76.84,68.09,68.06,68.10,68.10,68.04
142531,76.89,68.27,67.97,68.09,68.15,68.13
143603,76.82,68.21,68.07,68.07,68.09,68.09
144675,76.87,68.24,68.09,68.15,68.09,68.06
145746,76.90,68.10,68.15,68.09,68.15,68.10
146819,76.80,68.20,68.09,68.21,68.04,68.10
147890,76.87,68.26,68.18,68.15,68.21,68.17
148962,76.83,68.13,68.01,68.13,68.12,68.12
150034,76.93,68.24,68.04,68.06,68.00,68.04
151105,76.84,68.30,68.12,68.06,68.13,68.10
152177,76.87,68.21,68.03,68.18,68.09,68.06
153248,76.87,68.17,68.10,68.09,68.07,68.17
154320,76.82,68.20,68.12,68.10,68.04,67.95
155392,76.83,68.27,68.13,68.03,68.07,68.06
