time_ms,T1_C,T2_C,T3_C,T4_C,T5_C,T6_C
65373,66.13,66.11,66.10,66.14,66.11,66.10
66444,66.07,66.10,66.11,66.11,66.11,66.13
67516,66.10,66.13,66.13,66.10,66.11,66.11
68587,66.08,66.11,66.10,66.08,66.10,66.10
69659,66.11,66.11,66.11,66.11,66.16,66.10
70730,66.10,66.10,66.11,66.11,66.10,66.08
71802,66.08,66.13,66.11,66.13,66.11,66.10
72875,66.13,66.11,66.10,66.13,66.10,66.10
73946,66.11,66.11,66.08,66.10,66.08,66.13
75018,66.10,66.10,66.08,66.10,66.10,66.14
76089,66.07,66.13,66.10,66.13,66.13,66.13
77161,66.08,66.08,66.11,66.11,66.10,66.10
78233,66.10,66.10,66.10,66.13,66.14,66.08
79304,66.11,66.13,66.11,66.10,66.10,66.13
80376,66.08,66.11,66.11,66.10,66.10,66.10
81447,66.11,66.11,66.10,66.16,66.13,66.08
82520,66.04,66.13,66.08,66.10,66.10,66.10
83591,66.08,66.10,66.11,66.11,66.10,66.11
84663,66.08,66.07,66.08,66.10,66.10,66.10
85735,66.08,66.13,66.10,66.11,66.10,66.11
86806,66.08,66.10,66.11,66.10,66.10,66.13
87878,66.08,66.10,66.08,66.10,66.10,66.11
88949,66.10,66.08,66.10,66.11,66.13,66.11
90021,66.05,66.08,66.10,66.10,66.11,66.11
91092,66.08,66.10,66.13,66.10,66.11,66.10
92165,66.11,66.14,66.11,66.11,66.13,66.10
93237,66.13,66.11,66.13,66.13,66.11,66.13
94308,66.08,66.13,66.11,66.11,66.11,66.11
95380,66.11,66.13,66.10,66.10,66.13,66.11
96451,66.08,66.13,66.08,66.10,66.11,66.10
97523,66.08,66.10,66.10,66.10,66.10,66.10
98595,66.08,66.10,66.10,66.11,66.08,66.10
99666,66.13,66.11,66.11,66.11,66.13,66.11
100739,66.05,66.10,66.10,66.11,66.11,66.11
101810,66.07,66.08,66.11,66.13,66.10,66.08
102882,66.08,66.10,66.11,66.08,66.14,66.11
103954,66.04,66.11,66.19,66.10,66.11,66.08
105025,66.05,66.08,66.10,66.11,66.08,66.13
106097,66.07,66.11,66.10,66.10,66.10,66.10
107168,66.08,66.10,66.08,66.11,66.10,66.11
108240,66.05,66.10,66.13,66.08,66.13,66.11
109313,66.07,66.10,66.11,66.11,66.11,66.10
110384,66.05,66.11,66.11,66.10,66.11,66.11
111456,66.10,66.11,66.11,66.11,66.11,66.11
112527,66.08,66.10,66.10,66.11,66.10,66.11
113599,66.11,66.11,66.11,66.08,66.11,66.13
114671,66.07,66.11,66.10,66.10,66.10,66.11
115742,66.10,66.13,66.08,66.11,66.13,66.11
116814,66.08,66.13,66.08,66.10,66.13,66.10
117886,66.07,66.10,66.13,66.11,66.13,66.13
118958,66.07,66.11,66.11,66.11,66.10,66.13
120030,66.08,66.13,66.08,66.10,66.11,66.10
121101,66.05,66.11,66.11,66.11,66.11,66.10
122173,66.10,66.11,66.11,66.10,66.11,66.13
123245,66.08,66.10,66.08,66.10,66.11,66.10
124316,66.07,66.11,66.14,66.13,66.11,66.10
125388,66.07,66.11,66.11,66.14,66.13,66.13
126460,66.11,66.10,66.13,66.13,66.10,66.13
127532,66.10,66.11,66.11,66.11,66.11,66.08
128604,66.04,66.10,66.10,66.10,66.13,66.11
129675,66.08,66.10,66.11,66.11,66.11,66.11
130747,66.10,66.10,66.13,66.10,66.11,66.13
131819,66.05,66.11,66.13,66.11,66.13,66.11
132890,66.08,66.11,66.08,66.13,66.13,66.11
133962,66.08,66.10,66.11,66.13,66.11,66.13
135034,66.05,66.14,66.10,66.11,66.13,66.11
136105,66.08,66.10,66.11,66.11,66.10,66.13
137178,66.08,66.10,66.13,66.10,66.10,66.10
138249,66.10,66.10,66.10,66.11,66.13,66.11
139321,66.07,66.10,66.11,66.13,66.11,66.10
140393,66.08,66.10,66.11,66.11,66.10,66.10
141464,66.08,66.10,66.11,66.11,66.10,66.08
142536,66.08,66.10,66.11,66.11,66.10,66.16
143608,66.10,66.11,66.11,66.13,66.10,66.10
144679,66.10,66.11,66.08,66.08,66.10,66.07
145752,66.11,66.11,66.10,66.11,66.11,66.11
146823,66.05,66.10,66.13,66.10,66.13,66.10
147895,66.05,66.10,66.11,66.11,66.13,66.13
148967,66.07,66.10,66.11,66.10,66.10,66.11
150038,66.10,66.11,66.11,66.10,66.11,66.10
151110,66.08,66.10,66.13,66.13,66.11,66.10
152182,66.10,66.10,66.11,66.10,66.10,66.11
153253,66.07,66.08,66.11,66.11,66.11,66.11
154326,66.07,66.13,66.11,66.13,66.13,66.10
155397,66.08,66.11,66.10,66.11,66.13,66.10
156469,66.11,66.11,66.11,66.07,66.10,66.11
157541,66.08,66.11,66.08,66.10,66.13,66.10
158612,66.08,66.11,66.10,66.13,66.11,66.13
159684,66.10,66.11,66.08,66.11,66.10,66.08
160756,66.10,66.14,66.10,66.13,66.11,66.17
161827,66.04,66.10,66.11,66.10,66.11,66.11
162899,66.08,66.11,66.11,66.11,66.11,66.13
163972,66.07,66.10,66.10,66.16,66.11,66.11
165043,66.10,66.11,66.13,66.13,66.13,66.13
166115,66.05,66.10,66.10,66.14,66.11,66.11
167186,66.08,66.11,66.11,66.13,66.14,66.10
168258,66.08,66.11,66.11,66.10,66.13,66.10
169330,66.07,66.10,66.13,66.10,66.11,66.11
170401,66.10,66.11,66.13,66.13,66.17,66.11
171473,66.08,66.10,66.11,66.11,66.13,66.10
172546,66.08,66.10,66.10,66.11,66.14,66.11
173617,66.10,66.10,66.08,66.13,66.10,66.11
174689,66.10,66.13,66.13,66.13,66.13,66.10
175760,66.13,66.13,66.11,66.11,66.13,66.10
176832,66.08,66.10,66.14,66.10,66.11,66.13
177904,66.14,66.10,66.08,66.13,66.13,66.10
178975,66.07,66.10,66.13,66.11,66.13,66.16
180047,66.08,66.10,66.13,66.11,66.08,66.11
181120,66.07,66.11,66.13,66.17,66.11,66.10
182191,66.07,66.10,66.11,66.11,66.11,66.11
183263,66.07,66.10,66.05,66.13,66.14,66.10
184334,66.05,66.13,66.11,66.11,66.13,66.11
185406,66.07,66.10,66.11,66.13,66.11,66.11
186478,66.10,66.14,66.11,66.10,66.11,66.13
187549,66.08,66.11,66.14,66.10,66.16,66.14
188621,66.07,66.11,66.11,66.13,66.16,66.13
189693,66.05,66.13,66.13,66.13,66.11,66.11
190765,66.08,66.13,66.13,66.11,66.13,66.13
191837,66.07,66.11,66.13,66.10,66.10,66.10
192908,66.10,66.08,66.11,66.11,66.11,66.11
193980,66.10,66.11,66.11,66.14,66.10,66.11
195052,66.05,66.11,66.10,66.10,66.11,66.10
196123,66.07,66.10,66.11,66.10,66.11,66.13
197195,66.10,66.13,66.11,66.13,66.13,66.11
198267,66.07,66.10,66.10,66.11,66.11,66.10
199339,66.07,66.08,66.10,66.13,66.11,66.11
200411,66.07,66.13,66.13,66.11,66.13,66.10
201482,66.05,66.08,66.11,66.13,66.11,66.13
202554,66.11,66.14,66.11,66.10,66.13,66.13
203626,66.08,66.14,66.10,66.11,66.11,66.10
204697,66.05,66.10,66.10,66.13,66.11,66.13
205769,66.10,66.10,66.13,66.11,66.14,66.13
206841,66.08,66.11,66.14,66.14,66.14,66.13
207912,66.13,66.17,66.20,66.17,66.20,66.17
208985,66.14,66.20,66.19,66.16,66.23,66.22
210056,66.10,66.19,66.17,66.19,66.19,66.14
211128,66.14,66.20,66.20,66.16,66.19,66.23
212200,66.14,66.23,66.19,66.22,66.17,66.16
213271,66.17,66.19,66.20,66.17,66.19,66.22
214343,66.16,66.14,66.16,66.22,66.17,66.17
215415,66.16,66.19,66.17,66.16,66.24,66.19
216486,66.16,66.20,66.17,66.17,66.22,66.19
217559,66.19,66.20,66.13,66.19,66.16,66.17
218630,66.13,66.17,66.20,66.16,66.19,66.19
219702,66.14,66.16,66.17,66.19,66.13,66.14
220774,66.17,66.19,66.19,66.24,66.17,66.20
221845,66.13,66.17,66.22,66.13,66.20,66.16
222917,66.11,66.19,66.16,66.20,66.20,66.20
223989,66.16,66.22,66.16,66.19,66.20,66.19
225060,66.16,66.20,66.19,66.16,66.22,66.23
226132,66.11,66.19,66.16,66.19,66.17,66.26
227204,66.16,66.20,66.17,66.23,66.20,66.22
228276,66.20,66.24,66.16,66.19,66.19,66.16
229348,66.16,66.22,66.22,66.19,66.22,66.22
230419,66.20,66.17,66.22,66.19,66.22,66.17
231491,66.23,66.20,66.20,66.19,66.22,66.17
232563,66.16,66.22,66.19,66.17,66.24,66.20
233634,66.16,66.19,66.20,66.23,66.19,66.23
234706,66.16,66.22,66.22,66.22,66.23,66.19
235778,66.20,66.20,66.19,66.20,66.20,66.16
236850,66.16,66.23,66.23,66.24,66.22,66.20
237922,66.22,66.20,66.22,66.19,66.23,66.22
238993,66.17,66.22,66.22,66.22,66.23,66.22
240065,66.14,66.23,66.22,66.19,66.23,66.20
241137,66.14,66.20,66.22,66.23,66.19,66.19
242208,66.20,66.23,66.23,66.26,66.23,66.23
243280,66.20,66.24,66.23,66.24,66.23,66.19
244352,66.16,66.23,66.23,66.23,66.22,66.26
245424,66.20,66.20,66.23,66.26,66.24,66.24
246496,66.20,66.26,66.24,66.22,66.26,66.24
247567,66.19,66.20,66.23,66.22,66.23,66.24
248639,66.22,66.22,66.17,66.26,66.22,66.24
249710,66.16,66.22,66.24,66.20,66.22,66.23
250782,66.19,66.20,66.23,66.17,66.22,66.26
251854,66.19,66.22,66.22,66.22,66.23,66.23
252925,66.19,66.19,66.20,66.19,66.22,66.23
253998,66.14,66.24,66.22,66.24,66.20,66.23
255070,66.17,66.23,66.26,66.23,66.22,66.26
256141,66.17,66.20,66.20,66.23,66.22,66.23
257213,66.20,66.19,66.20,66.20,66.26,66.16
258284,66.20,66.23,66.24,66.17,66.23,66.22
259356,66.19,66.20,66.17,66.20,66.24,66.20
260428,66.20,66.24,66.20,66.19,66.26,66.19
261499,66.17,66.23,66.22,66.24,66.23,66.22
262572,66.17,66.20,66.19,66.16,66.17,66.19
263643,66.20,66.19,66.24,66.20,66.23,66.22
264715,66.19,66.22,66.23,66.22,66.24,66.23
265787,66.22,66.24,66.23,66.19,66.22,66.24
266858,66.20,66.22,66.22,66.22,66.20,66.19
267930,66.19,66.23,66.22,66.22,66.24,66.19
269002,66.16,66.23,66.23,66.19,66.24,66.24
270073,66.17,66.23,66.24,66.19,66.22,66.23
271145,66.17,66.20,66.20,66.22,66.26,66.19
272217,66.19,66.24,66.23,66.26,66.24,66.22
273289,66.19,66.20,66.24,66.24,66.23,66.19
274361,66.19,66.23,66.20,66.24,66.22,66.23
275432,66.22,66.23,66.20,66.23,66.26,66.23
276504,66.19,66.26,66.23,66.22,66.24,66.23
277576,66.20,66.26,66.23,66.23,66.16,66.23
278647,66.20,66.24,66.23,66.23,66.24,66.23
279719,66.23,66.20,66.17,66.26,66.23,66.24
280791,66.17,66.22,66.23,66.24,66.23,66.23
281863,66.22,66.22,66.26,66.23,66.24,66.23
282935,66.20,66.22,66.24,66.24,66.23,66.22
284006,66.19,66.22,66.26,66.22,66.23,66.24
285078,66.20,66.17,66.19,66.23,66.23,66.23
286150,66.22,66.23,66.23,66.22,66.20,66.24
287221,66.17,66.14,66.24,66.19,66.22,66.24
288293,66.17,66.24,66.20,66.19,66.22,66.22
289364,66.19,66.22,66.24,66.24,66.24,66.23
290437,66.19,66.20,66.26,66.20,66.24,66.23
291509,66.20,66.23,66.20,66.20,66.22,66.23
292580,66.19,66.24,66.22,66.23,66.23,66.23
293652,66.23,66.23,66.24,66.20,66.23,66.23
294724,66.19,66.23,66.24,66.20,66.20,66.23
295795,66.20,66.20,66.22,66.23,66.22,66.23
296867,66.19,66.23,66.20,66.23,66.24,66.23
297938,66.23,66.19,66.19,66.26,66.23,66.22
299011,66.13,66.17,66.17,66.17,66.19,66.16
300083,66.16,66.22,66.23,66.19,66.22,66.23
301154,66.14,66.23,66.19,66.24,66.23,66.22
302226,66.17,66.22,66.32,66.23,66.24,66.26
303298,66.22,66.23,66.19,66.23,66.23,66.22
304369,66.17,66.22,66.24,66.20,66.19,66.26
305441,66.16,66.16,66.22,66.20,66.22,66.24
306512,66.19,66.20,66.17,66.17,66.19,66.19
307585,66.17,66.20,66.20,66.19,66.20,66.22
308657,66.13,66.20,66.17,66.10,66.20,66.23
309728,66.19,66.24,66.22,66.20,66.17,66.23
310800,66.16,66.20,66.20,66.17,66.19,66.22
311871,66.16,66.22,66.20,66.20,66.22,66.20
312943,66.14,66.23,66.17,66.19,66.22,66.19
314015,66.22,66.20,66.22,66.20,66.20,66.19
315086,66.16,66.22,66.20,66.20,66.23,66.17
316158,66.20,66.23,66.20,66.19,66.22,66.19
317231,66.19,66.16,66.24,66.22,66.24,66.17
318302,66.16,66.20,66.20,66.23,66.16,66.23
319374,66.17,66.19,66.19,66.22,66.17,66.22
320445,66.16,66.20,66.22,66.20,66.19,66.22
321517,66.19,66.19,66.23,66.24,66.20,66.22
322589,66.19,66.22,66.20,66.23,66.24,66.19
323660,66.20,66.22,66.22,66.24,66.26,66.20
324732,66.16,66.22,66.23,66.20,66.20,66.24
325805,66.17,66.22,66.19,66.24,66.22,66.22
326876,66.17,66.23,66.24,66.19,66.24,66.24
327948,66.22,66.24,66.22,66.24,66.23,66.19
329019,66.19,66.23,66.23,66.23,66.23,66.19
330091,66.17,66.19,66.20,66.22,66.20,66.22
331163,66.14,66.22,66.24,66.22,66.23,66.24
332234,66.19,66.23,66.24,66.17,66.22,66.19
333306,66.19,66.22,66.19,66.22,66.20,66.22
334377,66.16,66.20,66.17,66.13,66.20,66.20
335450,66.23,66.22,66.23,66.26,66.29,66.27
336522,66.20,66.22,66.26,66.26,66.26,66.23
337593,66.27,66.22,66.26,66.24,66.24,66.26
338665,66.23,66.22,66.26,66.27,66.29,66.27
339737,66.33,66.29,66.27,66.24,66.29,66.27
340808,66.22,66.24,66.24,66.27,66.30,66.24
341880,66.20,66.26,66.29,66.26,66.27,66.26
342951,66.23,66.23,66.24,66.26,66.23,66.29
344024,66.20,66.23,66.24,66.24,66.26,66.24
345096,66.20,66.27,66.26,66.24,66.27,66.27
346167,66.26,66.29,66.27,66.26,66.29,66.30
347239,66.23,66.26,66.26,66.27,66.27,66.29
348310,66.23,66.26,66.24,66.27,66.24,66.27
349382,66.22,66.32,66.26,66.29,66.24,66.24
350454,66.24,66.29,66.26,66.27,66.29,66.27
351525,66.24,66.26,66.24,66.26,66.24,66.27
352598,66.26,66.23,66.29,66.26,66.26,66.30
353669,66.29,66.24,66.26,66.27,66.22,66.23
354741,66.22,66.24,66.26,66.23,66.33,66.26
355813,66.26,66.24,66.26,66.29,66.27,66.22
356884,66.24,66.26,66.26,66.24,66.26,66.26
357956,66.24,66.24,66.26,66.29,66.27,66.26
359028,66.23,66.26,66.30,66.26,66.27,66.29
360099,66.23,66.24,66.27,66.27,66.27,66.26
361171,66.24,66.26,66.26,66.27,66.27,66.26
362243,66.27,66.29,66.23,66.27,66.26,66.22
363315,66.24,66.26,66.27,66.27,66.29,66.27
364387,66.23,66.22,66.27,66.24,66.27,66.26
365458,66.23,66.23,66.26,66.27,66.30,66.27
366530,66.23,66.27,66.27,66.24,66.29,66.27
367601,66.26,66.27,66.29,66.27,66.27,66.30
368673,66.26,66.29,66.29,66.32,66.27,66.24
369745,66.27,66.30,66.30,66.29,66.24,66.24
370817,66.23,66.30,66.29,66.27,66.27,66.27
371889,66.29,66.33,66.26,66.27,66.30,66.27
372961,66.29,66.29,66.30,66.30,66.32,66.27
374032,66.24,66.27,66.29,66.24,66.29,66.30
375104,66.22,66.29,66.27,66.30,66.27,66.29
376175,66.30,66.26,66.26,66.26,66.29,66.29
377247,66.27,66.24,66.24,66.29,66.29,66.30
378319,66.29,66.29,66.26,66.27,66.29,66.26
379390,66.26,66.27,66.26,66.27,66.27,66.27
380463,66.26,66.27,66.29,66.26,66.30,66.29
381534,66.24,66.27,66.29,66.30,66.27,66.29
382606,66.24,66.26,66.29,66.26,66.27,66.27
383678,66.26,66.29,66.29,66.26,66.29,66.29
384749,66.29,66.29,66.29,66.26,66.30,66.29
385821,66.19,66.24,66.27,66.24,66.32,66.30
386892,66.26,66.27,66.24,66.27,66.24,66.24
387964,66.24,66.24,66.27,66.27,66.30,66.27
389037,66.17,66.22,66.19,66.17,66.22,66.20
390108,66.23,66.24,66.27,66.24,66.24,66.27
391180,66.24,66.24,66.27,66.26,66.27,66.27
392252,66.24,66.29,66.27,66.29,66.24,66.29
393323,66.22,66.24,66.23,66.29,66.24,66.27
394395,66.23,66.26,66.30,66.29,66.27,66.27
395466,66.27,66.30,66.24,66.27,66.29,66.27
396538,66.24,66.26,66.27,66.24,66.24,66.26
397611,66.26,66.26,66.26,66.24,66.23,66.22
398682,66.22,66.27,66.24,66.26,66.26,66.29
399754,66.20,66.24,66.23,66.29,66.32,66.26
400825,66.24,66.24,66.24,66.22,66.32,66.27
401897,66.14,66.26,66.26,66.27,66.24,66.23
402969,66.24,66.30,66.26,66.26,66.26,66.24
404040,66.22,66.26,66.26,66.27,66.27,66.30
405112,66.23,66.27,66.26,66.27,66.29,66.24
406183,66.22,66.23,66.24,66.26,66.26,66.27
407256,66.19,66.30,66.29,66.24,66.26,66.22
408328,66.19,66.24,66.26,66.26,66.24,66.23
409399,66.23,66.22,66.24,66.22,66.23,66.20
410471,66.22,66.26,66.26,66.26,66.24,66.27
411543,66.23,66.22,66.29,66.23,66.26,66.22
412614,66.26,66.23,66.23,66.27,66.23,66.26
413686,66.19,66.26,66.22,66.23,66.26,66.23
414757,66.20,66.26,66.27,66.26,66.27,66.23
415830,66.20,66.22,66.24,66.26,66.23,66.26
416902,66.23,66.23,66.27,66.24,66.26,66.27
417973,66.24,66.24,66.23,66.24,66.26,66.23
419045,66.20,66.26,66.24,66.27,66.22,66.26
420117,66.17,66.26,66.20,66.24,66.29,66.26
421188,66.23,66.24,66.23,66.26,66.17,66.29
422260,66.20,66.26,66.26,66.20,66.27,66.24
423331,66.22,66.23,66.22,66.23,66.23,66.26
424403,66.22,66.24,66.23,66.23,66.22,66.26
425476,66.23,66.29,66.23,66.23,66.24,66.20
426547,66.26,66.23,66.23,66.29,66.20,66.23
427619,66.20,66.24,66.23,66.26,66.29,66.26
428690,66.20,66.27,66.22,66.27,66.24,66.24
429762,66.22,66.22,66.24,66.26,66.27,66.24
430834,66.20,66.27,66.23,66.24,66.24,66.24
431905,66.22,66.22,66.22,66.22,66.24,66.26
432977,66.23,66.26,66.27,66.23,66.29,66.24
434050,66.23,66.26,66.24,66.24,66.26,66.26
435121,66.22,66.24,66.24,66.26,66.26,66.26
436193,66.24,66.26,66.22,66.23,66.24,66.26
437264,66.20,66.26,66.24,66.27,66.27,66.23
438336,66.23,66.23,66.24,66.26,66.26,66.27
439408,66.24,66.27,66.24,66.27,66.26,66.26
440479,66.27,66.27,66.24,66.29,66.24,66.29
441551,66.26,66.26,66.24,66.26,66.24,66.22
442622,66.23,66.29,66.26,66.29,66.24,66.26
443695,66.19,66.24,66.27,66.24,66.27,66.26
444767,66.23,66.27,66.27,66.26,66.27,66.26
445838,66.27,66.23,66.29,66.23,66.26,66.27
446910,66.20,66.24,66.24,66.24,66.27,66.24
447982,66.23,66.24,66.27,66.26,66.26,66.26
449053,66.19,66.23,66.27,66.24,66.26,66.26
450125,66.22,66.23,66.27,66.23,66.26,66.27
451196,66.22,66.24,66.22,66.24,66.30,66.24
452269,66.24,66.24,66.27,66.24,66.27,66.26
453341,66.23,66.20,66.24,66.26,66.29,66.30
454412,66.23,66.27,66.26,66.24,66.30,66.27
455484,66.14,66.23,66.24,66.24,66.29,66.24
456555,66.23,66.27,66.26,66.27,66.24,66.26
457627,66.24,66.24,66.26,66.26,66.27,66.27
458699,66.20,66.24,66.24,66.24,66.26,66.26
459770,66.26,66.24,66.26,66.27,66.24,66.22
460843,66.20,66.27,66.24,66.26,66.26,66.29
461914,66.20,66.26,66.26,66.27,66.27,66.23
462986,66.23,66.27,66.27,66.24,66.26,66.24
464058,66.22,66.27,66.26,66.24,66.24,66.26
465129,66.20,66.26,66.23,66.24,66.26,66.23
466201,66.22,66.24,66.23,66.24,66.29,66.24
467273,66.22,66.24,66.24,66.22,66.27,66.24
468344,66.20,66.27,66.26,66.23,66.26,66.29
469416,66.23,66.29,66.27,66.26,66.32,66.26
470488,66.23,66.20,66.26,66.23,66.27,66.24
471560,66.23,66.26,66.29,66.24,66.24,66.29
472632,66.20,66.26,66.24,66.27,66.26,66.29
473703,66.20,66.22,66.24,66.26,66.29,66.27
474775,66.24,66.29,66.24,66.27,66.27,66.24
475846,66.22,66.24,66.26,66.24,66.27,66.27
476918,66.20,66.26,66.30,66.27,66.29,66.26
477990,66.24,66.26,66.27,66.29,66.27,66.26
479062,66.20,66.27,66.23,66.26,66.27,66.26
480134,66.22,66.24,66.26,66.27,66.24,66.29
481206,66.17,66.24,66.29,66.27,66.27,66.27
482277,66.23,66.26,66.26,66.32,66.26,66.27
483349,66.22,66.26,66.24,66.24,66.30,66.27
484420,66.23,66.27,66.29,66.29,66.29,66.24
485492,66.23,66.27,66.26,66.29,66.27,66.27
486564,66.27,66.27,66.27,66.29,66.26,66.24
487635,66.23,66.24,66.29,66.26,66.26,66.24
488708,66.23,66.27,66.26,66.26,66.30,66.23
489779,66.27,66.24,66.26,66.30,66.30,66.27
490851,66.24,66.23,66.26,66.29,66.29,66.26
491923,66.26,66.30,66.27,66.27,66.27,66.30
492994,66.20,66.26,66.26,66.29,66.27,66.27
494066,66.22,66.26,66.26,66.26,66.27,66.26
495137,66.22,66.29,66.27,66.24,66.27,66.24
496209,66.23,66.27,66.29,66.29,66.26,66.22
497282,66.24,66.29,66.27,66.24,66.26,66.27
498353,66.23,66.26,66.27,66.24,66.27,66.29
499425,66.20,66.23,66.26,66.27,66.26,66.26
500497,66.23,66.26,66.29,66.27,66.26,66.26
501568,66.24,66.29,66.27,66.27,66.26,66.26
502640,66.27,66.29,66.26,66.26,66.32,66.26
503711,66.26,66.27,66.24,66.29,66.29,66.26
504783,66.26,66.24,66.29,66.27,66.29,66.26
505856,66.24,66.26,66.27,66.26,66.26,66.26
506927,66.22,66.26,66.22,66.24,66.26,66.29
507999,66.24,66.26,66.23,66.26,66.27,66.24
509070,66.22,66.24,66.24,66.30,66.24,66.26
510142,66.26,66.29,66.33,66.27,66.29,66.29
511214,66.23,66.27,66.24,66.26,66.27,66.27
512285,66.27,66.30,66.29,66.24,66.29,66.26
513357,66.26,66.27,66.27,66.26,66.29,66.30
514428,66.26,66.30,66.29,66.29,66.27,66.26
515501,66.27,66.29,66.26,66.27,66.26,66.26
516573,66.26,66.30,66.26,66.29,66.29,66.29
517644,66.29,66.27,66.29,66.27,66.27,66.24
518716,66.26,66.29,66.26,66.27,66.29,66.26
519788,66.29,66.26,66.29,66.29,66.27,66.27
520859,66.17,66.22,66.26,66.24,66.29,66.29
521931,66.22,66.29,66.29,66.26,66.29,66.27
523002,66.24,66.26,66.24,66.27,66.27,66.29
524075,66.27,66.27,66.26,66.27,66.27,66.26
525147,66.26,66.27,66.24,66.27,66.24,66.26
526218,66.22,66.27,66.27,66.29,66.26,66.24
527290,66.22,66.26,66.27,66.27,66.27,66.27
528361,66.24,66.26,66.24,66.38,66.27,66.26
529433,66.22,66.27,66.26,66.24,66.26,66.27
530505,66.23,66.27,66.26,66.27,66.30,66.24
531576,66.23,66.26,66.26,66.27,66.23,66.27
532648,66.24,66.26,66.24,66.27,66.32,66.27
533720,66.27,66.27,66.24,66.29,66.27,66.26
534792,66.19,66.27,66.27,66.26,66.30,66.24
535864,66.27,66.29,66.26,66.29,66.24,66.27
536935,66.24,66.29,66.30,66.29,66.27,66.26
538007,66.24,66.27,66.29,66.27,66.27,66.29
539079,66.29,66.26,66.27,66.29,66.24,66.26
540150,66.23,66.27,66.26,66.24,66.26,66.29
541222,66.22,66.26,66.22,66.29,66.27,66.26
542294,66.23,66.26,66.27,66.27,66.26,66.26
543366,66.23,66.26,66.29,66.26,66.26,66.27
544438,66.22,66.26,66.26,66.24,66.20,66.29
545509,66.20,66.17,66.19,66.23,66.17,66.24
546581,66.23,66.20,66.22,66.22,66.24,66.22
547652,66.19,66.24,66.22,66.23,66.23,66.23
548724,66.22,66.22,66.26,66.23,66.23,66.22
549796,66.20,66.23,66.17,66.24,66.24,66.23
550867,66.22,66.22,66.22,66.22,66.19,66.22
