time_ms,T1_C,T2_C,T3_C,T4_C,T5_C,T6_C

0,66.08,66.05,66.04,66.07,66.07,66.07
1071,66.11,66.10,66.10,66.11,66.08,66.10
2143,66.08,66.10,66.08,66.08,66.11,66.10
3214,66.10,66.11,66.08,66.10,66.10,66.10
4286,66.10,66.11,66.08,66.10,66.11,66.10
5357,66.11,66.10,66.10,66.11,66.13,66.11
6429,66.10,66.10,66.11,66.10,66.10,66.11
7501,66.10,66.08,66.10,66.11,66.10,66.08
8572,66.13,66.05,66.08,66.10,66.10,66.11
9645,66.10,66.11,66.13,66.10,66.11,66.11
10716,66.08,66.08,66.11,66.11,66.08,66.10
11788,66.10,66.11,66.11,66.10,66.11,66.10
12859,66.10,66.07,66.11,66.10,66.10,66.11
13931,66.10,66.10,66.11,66.10,66.11,66.10
15002,66.08,66.10,66.13,66.11,66.13,66.10
16074,66.08,66.10,66.08,66.10,66.10,66.11
17146,66.10,66.05,66.07,66.13,66.08,66.07
18217,66.11,66.10,66.08,66.11,66.10,66.10
19290,66.10,66.11,66.08,66.10,66.11,66.11
20361,66.13,66.16,66.10,66.14,66.11,66.11
21433,66.10,66.10,66.10,66.10,66.11,66.11
22504,66.08,66.08,66.10,66.11,66.08,66.10
23576,66.11,66.10,66.11,66.11,66.13,66.10
24648,66.08,66.10,66.08,66.11,66.11,66.10
25719,66.11,66.11,66.08,66.10,66.08,66.10
26791,66.08,66.07,66.10,66.10,66.10,66.11
27863,66.11,66.11,66.10,66.10,66.11,66.08
28935,66.11,66.08,66.10,66.11,66.16,66.10
30006,66.08,66.10,66.10,66.10,66.10,66.08
31078,66.10,66.10,66.13,66.10,66.11,66.10
32150,66.08,66.11,66.10,66.10,66.11,66.10
33221,66.10,66.11,66.10,66.10,66.08,66.10
34293,66.05,66.10,66.10,66.10,66.13,66.10
35364,66.13,66.11,66.11,66.11,66.08,66.08
36436,66.10,66.10,66.11,66.10,66.11,66.11
37509,66.10,66.11,66.11,66.11,66.11,66.10
38580,66.07,66.11,66.11,66.11,66.10,66.11
39652,66.10,66.10,66.13,66.10,66.10,66.10
40723,66.10,66.08,66.10,66.10,66.10,66.13
41795,66.11,66.16,66.10,66.11,66.10,66.08
42866,66.10,66.10,66.08,66.11,66.10,66.10
43938,66.07,66.08,66.11,66.11,66.11,66.13
45010,66.08,66.08,66.11,66.10,66.11,66.13
46082,66.07,66.08,66.10,66.10,66.11,66.13
47154,66.11,66.13,66.10,66.07,66.11,66.10
48225,66.11,66.10,66.08,66.08,66.14,66.10
49297,66.10,66.10,66.11,66.10,66.11,66.10
50368,66.14,66.10,66.10,66.11,66.11,66.11
51440,66.08,66.10,66.11,66.08,66.10,66.08
52512,66.10,66.11,66.11,66.10,66.13,66.11
53583,66.07,66.11,66.10,66.11,66.08,66.11
54656,66.08,66.10,66.11,66.08,66.11,66.10
55727,66.13,66.10,66.10,66.08,66.11,66.10
56799,66.10,66.10,66.11,66.08,66.10,66.08
57870,66.10,66.08,66.11,66.11,66.10,66.11
58942,66.10,66.10,66.11,66.10,66.13,66.10
60014,66.08,66.11,66.11,66.08,66.11,66.11
61085,66.08,66.10,66.11,66.08,66.10,66.11
62157,66.10,66.10,66.11,66.11,66.11,66.11
63228,66.10,66.13,66.10,66.13,66.11,66.10
64301,66.08,66.08,66.11,66.11,66.14,66.08
