time_ms,T1_C,T2_C,T3_C,T4_C,T5_C,T6_C

0,74.91,66.24,66.26,66.20,66.17,66.11
1071,74.92,66.26,66.17,66.16,66.24,66.20
2143,74.85,66.24,66.14,66.20,66.27,66.22
3214,74.91,66.29,66.29,66.23,66.45,66.22
4286,74.82,66.36,66.17,66.16,66.23,66.20
5357,74.94,66.29,66.27,66.23,66.13,66.19
6429,74.87,66.27,66.11,66.27,66.23,66.20
7500,74.78,66.29,66.27,66.22,66.14,66.16
8572,74.78,66.27,66.19,66.22,66.23,66.16
9644,74.71,66.17,66.22,66.20,66.16,66.23
10716,74.81,66.32,66.20,66.24,66.35,66.17
11788,74.78,66.23,66.29,66.24,66.23,66.32
12859,74.70,66.36,66.36,66.23,66.30,66.27
13931,74.80,66.32,66.26,66.14,66.27,66.17
15002,74.70,66.27,66.20,66.35,66.19,66.22
16074,74.67,66.33,66.41,66.17,66.30,66.30
17145,74.70,66.26,66.29,66.26,66.22,66.20
18217,74.67,66.32,66.24,66.27,66.27,66.35
19289,74.67,66.29,66.30,66.14,66.35,66.36
20361,74.64,66.42,66.20,66.24,66.32,66.20
21433,74.57,66.36,66.32,66.20,66.36,66.22
22504,74.65,66.38,66.24,66.19,66.32,66.26
23576,74.54,66.13,66.16,66.23,66.30,66.26
24647,74.72,66.29,66.23,66.26,66.30,66.26
25719,74.56,66.30,66.22,66.33,66.24,66.33
26790,74.60,66.36,66.24,66.17,66.22,66.29
27863,74.63,66.16,66.24,66.24,66.17,66.30
28934,74.68,66.35,66.20,66.33,66.23,66.14
30006,74.65,66.48,66.36,66.23,66.24,66.23
31078,74.58,66.35,66.19,66.33,66.30,66.23
32149,74.58,66.32,66.19,66.24,66.19,66.29
33221,74.71,66.27,66.29,66.27,66.30,66.19
34292,74.60,66.26,66.16,66.27,66.36,66.22
35364,74.72,66.26,66.24,66.19,66.29,66.45
36435,74.61,66.36,66.27,66.27,66.33,66.22
37508,74.67,66.32,66.24,66.20,66.29,66.32
38580,74.63,66.35,66.22,66.20,66.33,66.22
39651,74.60,66.48,66.22,66.22,66.17,66.23
40723,74.57,66.36,66.33,66.27,66.30,66.23
41794,74.58,66.44,66.26,66.27,66.20,66.24
42866,74.70,66.41,66.19,66.26,66.29,66.23
43937,74.64,66.45,66.29,66.26,66.19,66.20
45009,74.57,66.29,66.19,66.14,66.14,66.20
46081,74.63,66.16,66.27,66.24,66.19,66.26
47153,74.65,66.27,66.14,66.14,66.19,66.17
48225,74.67,66.30,66.26,66.23,66.26,66.19
49296,74.58,66.30,66.42,66.22,66.27,66.22
50368,74.72,66.39,66.27,66.29,66.23,66.32
51439,74.71,66.44,66.33,66.36,66.26,66.29
52511,74.72,66.38,66.33,66.24,66.23,66.24
53582,74.68,66.30,66.39,66.23,66.38,66.17
54654,74.74,66.22,66.35,66.26,66.26,66.24
55726,74.67,66.38,66.27,66.22,66.29,66.26
56798,74.72,66.30,66.33,66.22,66.24,66.22
57870,74.63,66.36,66.24,66.41,66.26,66.30
58941,74.68,66.30,66.22,66.33,66.22,66.26
60013,74.57,66.38,66.20,66.19,66.32,66.32
61084,74.74,66.24,66.24,66.19,66.20,66.29
62156,74.70,66.35,66.27,66.30,66.17,66.26
63227,75.74,66.30,66.24,66.27,66.19,66.16
64300,76.43,66.33,66.27,66.26,66.32,66.29
65372,76.84,66.35,66.30,66.36,66.20,66.32
66443,76.96,66.29,66.20,66.24,66.24,66.16
67515,76.64,66.32,66.20,66.38,66.23,66.20
68586,76.61,66.32,66.35,66.36,66.23,66.33
69658,76.43,66.36,66.27,66.29,66.30,66.32
70729,76.25,66.35,66.13,66.17,66.26,66.23
71801,76.16,66.23,66.41,66.26,66.36,66.23
72872,76.08,66.26,66.24,66.24,66.30,66.26
73945,76.06,66.30,66.41,66.33,66.26,66.26
75017,75.84,66.42,66.19,66.26,66.29,66.38
76088,75.75,66.24,66.29,66.33,66.24,66.23
77160,75.60,66.35,66.27,66.33,66.24,66.19
78231,75.60,66.29,66.27,66.44,66.42,66.29
79303,75.50,66.33,66.26,66.30,66.20,66.29
80374,75.42,66.29,66.30,66.23,66.19,66.24
81446,75.37,66.30,66.30,66.32,66.36,66.22
82518,75.43,66.26,66.27,66.33,66.26,66.29
83590,75.83,66.36,66.22,66.32,66.24,66.24
84662,76.22,66.35,66.29,66.35,66.23,66.35
85733,76.57,66.45,66.26,66.23,66.20,66.20
86805,76.59,66.33,66.27,66.41,66.33,66.33
87876,76.84,66.35,66.27,66.36,66.29,66.20
88948,76.82,66.41,66.20,66.14,66.29,66.27
90019,77.02,66.39,66.30,66.26,66.26,66.33
91091,77.08,66.33,66.23,66.22,66.24,66.27
92163,77.12,66.49,66.30,66.26,66.27,66.38
93235,77.20,66.35,66.33,66.17,66.27,66.23
94306,77.22,66.35,66.24,66.29,66.39,66.24
95378,77.27,66.42,66.32,66.30,66.30,66.22
96450,76.98,66.39,66.33,66.30,66.27,66.24
97521,76.91,66.36,66.32,66.22,66.26,66.29
98593,76.80,66.45,66.22,66.29,66.29,66.26
99664,76.71,66.39,66.17,66.19,66.29,66.27
100737,76.46,66.30,66.27,66.24,66.32,66.20
101808,76.33,66.29,66.30,66.32,66.29,66.26
102880,76.28,66.58,66.19,66.32,66.24,66.20
103952,76.18,66.58,66.19,66.27,66.20,66.22
105023,76.04,66.36,66.45,66.36,66.26,66.24
