time_ms,T1_C,T2_C,T3_C,T4_C,T5_C,T6_C

0,-13.48,-8.50,-8.35,-8.44,-8.39,-8.44
1071,-13.49,-8.53,-8.50,-8.46,-8.46,-8.44
2142,-13.48,-8.50,-8.43,-8.45,-8.44,-8.43
3214,-13.49,-8.50,-8.45,-8.40,-8.44,-8.48
4285,-13.52,-8.49,-8.44,-8.45,-8.47,-8.52
5356,-13.48,-8.42,-8.45,-8.45,-8.50,-8.52
6428,-13.49,-8.53,-8.46,-8.45,-8.45,-8.47
7499,-13.48,-8.53,-8.52,-8.48,-8.46,-8.43
8570,-13.48,-8.52,-8.44,-8.47,-8.45,-8.46
9643,-13.48,-8.51,-8.45,-8.43,-8.44,-8.48
10714,-13.48,-8.44,-8.41,-8.42,-8.48,-8.44
11785,-13.46,-8.48,-8.49,-8.41,-8.51,-8.37
12857,-13.48,-8.54,-8.41,-8.45,-8.42,-8.49
13928,-13.48,-8.41,-8.46,-8.45,-8.42,-8.47
15000,-13.46,-8.57,-8.46,-8.45,-8.50,-8.49
16071,-13.49,-8.53,-8.47,-8.40,-8.44,-8.45
17142,-13.52,-8.50,-8.45,-8.50,-8.43,-8.43
18214,-13.48,-8.43,-8.38,-8.40,-8.45,-8.45
19286,-13.48,-8.59,-8.49,-8.43,-8.40,-8.43
20357,-13.50,-8.53,-8.43,-8.42,-8.40,-8.45
21429,-13.47,-8.45,-8.40,-8.45,-8.45,-8.51
22500,-13.44,-8.55,-8.44,-8.43,-8.43,-8.46
23572,-13.43,-8.57,-8.47,-8.40,-8.42,-8.45
24643,-13.47,-8.47,-8.51,-8.45,-8.47,-8.36
